prvdr_num,hospital_name,address,city,state,zip_code,lat,lon
10049,MEDICAL CENTER ENTERPRISE,"400 N EDWARDS STREET ENTERPRISE, AL",ENTERPRISE,AL,36330,31.318191,-85.855308
10051,GREENE COUNTY HOSPITAL,"509 WILSON AVENUE EUTAW, AL",EUTAW,AL,35462,32.844744,-87.889307
10052,LAKE MARTIN COMMUNITY HOSPITAL,"201 MARIARDEN ROAD DADEVILLE, AL",DADEVILLE,AL,36853,32.8187,-85.741758
10055,FLOWERS HOSPITAL,"4370 WEST MAIN STREET DOTHAN, AL",DOTHAN,AL,36305,31.235991,-85.457937
10056,ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE BIRMINGHAM, AL",BIRMINGHAM,AL,35205,33.508015,-86.788755
10058,BIBB MEDICAL CENTER,"208 PIERSON AVE CENTREVILLE, AL",CENTREVILLE,AL,35042,32.951101,-87.147865
10059,LAWRENCE MEDICAL CENTER,"202 HOSPITAL STREET MOULTON, AL",MOULTON,AL,35650,34.482884,-87.286019
10061,HIGHLANDS MEDICAL CENTER,"380 WOODS COVE ROAD SCOTTSBORO, AL",SCOTTSBORO,AL,35768,34.661254,-86.047116
10062,WIREGRASS MEDICAL CENTER,"1200 W MAPLE AVENUE GENEVA, AL",GENEVA,AL,36340,31.048063,-85.890837
10065,RUSSELL MEDICAL CENTER,"3316 HIGHWAY 280 ALEXANDER CITY, AL",ALEXANDER CITY,AL,35010,32.93103,-85.968394
10069,MEDICAL CENTER BARBOUR,"820 W WASHINGTON ST EUFAULA, AL",EUFAULA,AL,36027,31.88798,-85.156613
10073,CLAY COUNTY HOSPITAL,"83825 HIGHWAY 9 P O BOX 1270 ASHLAND, AL",ASHLAND,AL,36251,33.276548,-85.823789
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,"400 EAST 10TH STREET ANNISTON, AL",ANNISTON,AL,36207,33.657123,-85.823353
10079,ATHENS LIMESTONE HOSPITAL,"700 WEST MARKET STREET ATHENS, AL",ATHENS,AL,35611,34.803499,-86.977803
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,"1613 NORTH MCKENZIE STREET FOLEY, AL",FOLEY,AL,36535,30.426109,-87.683187
10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,"1201 7TH STREET SE DECATUR, AL",DECATUR,AL,35601,34.591168,-86.972621
10086,NORTHWEST MEDICAL CENTER,"1530 U S HIGHWAY 43 WINFIELD, AL",WINFIELD,AL,35594,33.929316,-87.824507
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,"2451 FILLINGIM STREET MOBILE, AL",MOBILE,AL,36617,30.708121,-88.099441
10089,WALKER BAPTIST MEDICAL CENTER,"3400 HIGHWAY 78 EAST JASPER, AL",JASPER,AL,35502,33.841142,-87.236879
10090,PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD MOBILE, AL",MOBILE,AL,36608,30.68169,-88.198329
10091,GROVE HILL MEMORIAL HOSPITAL,"295 JACKSON HWY S GROVE HILL, AL",GROVE HILL,AL,36451,31.694213,-87.777231
10092,D C H REGIONAL MEDICAL CENTER,"809 UNIVERSITY BOULEVARD EAST TUSCALOOSA, AL",TUSCALOOSA,AL,35401,33.20613,-87.525154
10097,ELMORE COMMUNITY HOSPITAL,"500 HOSPITAL DRIVE WETUMPKA, AL",WETUMPKA,AL,36092,32.551957,-86.185643
10099,D W MCMILLAN MEMORIAL HOSPITAL,"1301 BELLEVILLE AVENUE BREWTON, AL",BREWTON,AL,36426,31.127105,-87.072378
10100,THOMAS HOSPITAL,"750 MORPHY AVENUE FAIRHOPE, AL",FAIRHOPE,AL,36532,30.519999,-87.890333
10101,CITIZENS BAPTIST MEDICAL CENTER,"604 STONE AVENUE TALLADEGA, AL",TALLADEGA,AL,35161,33.439801,-86.090641
10102,J PAUL JONES HOSPITAL,"317 MCWILLIAMS AVENUE CAMDEN, AL",CAMDEN,AL,36726,31.996611,-87.299424
10103,PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST BIRMINGHAM, AL",BIRMINGHAM,AL,35211,33.499004,-86.846742
10104,GRANDVIEW MEDICAL CENTER,"3690 GRANDVIEW PARKWAY BIRMINGHAM, AL",BIRMINGHAM,AL,35243,33.434363,-86.720483
10108,PRATTVILLE BAPTIST HOSPITAL,"124 S MEMORIAL DR PRATTVILLE, AL",PRATTVILLE,AL,36067,32.464423,-86.450936
10109,PICKENS COUNTY MEDICAL CENTER,"241 ROBERT K WILSON DRIVE CARROLLTON, AL",CARROLLTON,AL,35447,33.274807,-88.089673
10110,BULLOCK COUNTY HOSPITAL,"102 WEST CONECUH AVENUE UNION SPRINGS, AL",UNION SPRINGS,AL,36089,32.146182,-85.71638
10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,"105 HIGHWAY 80 EAST DEMOPOLIS, AL",DEMOPOLIS,AL,36732,32.503676,-87.836744
10113,MOBILE INFIRMARY MEDICAL CENTER,"5 MOBILE INFIRMARY CIRCLE MOBILE, AL",MOBILE,AL,36652,30.696443,-88.081017
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM","995 9TH AVENUE SOUTHWEST BESSEMER, AL",BESSEMER,AL,35021,33.373086,-86.991709
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,"1015 MEDICAL CENTER PARKWAY SELMA, AL",SELMA,AL,36701,32.430248,-87.055174
10120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886 MONROEVILLE, AL",MONROEVILLE,AL,36460,31.497839,-87.319411
10125,LAKELAND COMMUNITY HOSPITAL,"42024 HIGHWAY 195 E HALEYVILLE, AL",HALEYVILLE,AL,35565,34.241718,-87.589857
10126,TROY REGIONAL MEDICAL CENTER,"1330 HIGHWAY 231 SOUTH TROY, AL",TROY,AL,36081,31.780322,-85.945529
10128,JACKSON MEDICAL CENTER,"220 HOSPITAL DRIVE JACKSON, AL",JACKSON,AL,36545,31.530482,-87.89318
10129,NORTH BALDWIN INFIRMARY,"1815 HAND AVENUE BAY MINETTE, AL",BAY MINETTE,AL,36507,30.902492,-87.783318
10130,ST VINCENT'S ST CLAIR,"7063 VETERANS PARKWAY PELL CITY, AL",PELL CITY,AL,35125,33.605568,-86.30238
10138,HILL HOSPITAL OF SUMTER COUNTY,"751 DERBY DRIVE YORK, AL",YORK,AL,36925,32.491825,-88.296081
10139,BROOKWOOD BAPTIST MEDICAL CENTER,"2010 BROOKWOOD MEDICAL CENTER DRIVE BIRMINGHAM, AL",BIRMINGHAM,AL,35209,33.46291,-86.77685
10144,SPRINGHILL MEMORIAL HOSPITAL,"3719 DAUPHIN STREET MOBILE, AL",MOBILE,AL,36608,30.685946,-88.131719
10146,RMC JACKSONVILLE,"1701 SOUTH PELHAM ROAD JACKSONVILLE, AL",JACKSONVILLE,AL,36265,33.785191,-85.761263
10148,EVERGREEN MEDICAL CENTER,"101 CRESTVIEW AVENUE EVERGREEN, AL",EVERGREEN,AL,36401,31.43126,-86.94205
10149,BAPTIST MEDICAL CENTER EAST,"400 TAYLOR ROAD MONTGOMERY, AL",MONTGOMERY,AL,36117,32.376821,-86.172095
10150,L V STABLER MEMORIAL HOSPITAL,"29 L V STABLER DRIVE GREENVILLE, AL",GREENVILLE,AL,36037,31.82945,-86.64586
10157,SHOALS HOSPITAL,"201 WEST AVALON AVENUE MUSCLE SHOALS, AL",MUSCLE SHOALS,AL,35661,34.744941,-87.676511
10158,RUSSELLVILLE HOSPITAL,"15155 HIGHWAY 43 RUSSELLVILLE, AL",RUSSELLVILLE,AL,35653,34.511165,-87.717585
10164,COOSA VALLEY MEDICAL CENTER,"315 W HICKORY ST SYLACAUGA, AL",SYLACAUGA,AL,35150,33.164666,-86.254598
10168,JACK HUGHSTON MEMORIAL HOSPITAL,"4401 RIVER CHASE DRIVE PHENIX CITY, AL",PHENIX CITY,AL,36867,32.509045,-85.005696
10169,ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DRIVE ATMORE, AL",ATMORE,AL,36502,31.01657,-87.479735
10172,NORTH ALABAMA SPECIALITY HOSPITAL,"700 WEST MARKET STREET, 2ND FLOOR ATHENS, AL",ATHENS,AL,35611,34.803499,-86.977803
10173,ST VINCENT'S CHILTON,"2030 LAY DAM ROAD CLANTON, AL",CLANTON,AL,35045,32.876585,-86.623511
11300,WASHINGTON COUNTY HOSPITAL,"14600 ST. STEPHENS AVENUE CHATOM, AL",CHATOM,AL,36518,31.460296,-88.235291
11302,RED BAY HOSPITAL,"211 HOSPITAL ROAD RED BAY, AL",RED BAY,AL,35582,34.457425,-88.146934
11305,ST VINCENTS BLOUNT,"150 GILBREATH DRIVE ONEONTA, AL",ONEONTA,AL,35121,33.932537,-86.493059
13300,CHILDREN'S HOSPITAL OF ALABAMA,"1600 SEVENTH AVENUE SOUTH BIRMINGHAM, AL",BIRMINGHAM,AL,35233,33.503222,-86.805381
13301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,"1700 CENTER STREET MOBILE, AL",MOBILE,AL,36604,30.696082,-88.076883
20001,PROVIDENCE ALASKA MEDICAL CENTER,"3200 PROVIDENCE DRIVE ANCHORAGE, AK",ANCHORAGE,AK,99508,61.189798,-149.817622
20006,MAT-SU REGIONAL MEDICAL CENTER,"2500 SOUTH WOODWORTH LOOP PALMER, AK",PALMER,AK,99645,61.561217,-149.258718
20008,BARTLETT REGIONAL HOSPITAL,"3260 HOSPITAL DR JUNEAU, AK",JUNEAU,AK,99801,58.328696,-134.466829
20012,FAIRBANKS MEMORIAL HOSPITAL,"1650 COWLES STREET FAIRBANKS, AK",FAIRBANKS,AK,99701,64.831407,-147.736254
20017,ALASKA REGIONAL HOSPITAL,"2801 DEBARR ROAD ANCHORAGE, AK",ANCHORAGE,AK,99508,61.20979,-149.827379
20024,CENTRAL PENINSULA GENERAL HOSPITAL,"250 HOSPITAL PLACE SOLDOTNA, AK",SOLDOTNA,AK,99669,60.493865,-151.077658
20026,ALASKA NATIVE MEDICAL CENTER,"4315 DIPLOMACY DR ANCHORAGE, AK",ANCHORAGE,AK,99508,61.18189,-149.800578
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365 SEWARD, AK",SEWARD,AK,99664,60.105046,-149.445383
21303,SITKA COMMUNITY HOSPITAL,"209 MOLLER DRIVE SITKA, AK",SITKA,AK,99835,57.058992,-135.345929
21305,WRANGELL MEDICAL CENTER,"310 BENNETT STREET PO BOX 1081 WRANGELL, AK",WRANGELL,AK,99929,56.471646,-132.376414
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,"1915 EAST REZANOF DRIVE KODIAK, AK",KODIAK,AK,99615,57.800835,-152.373943
21311,KETCHIKAN MEDICAL CENTER,"3100 TONGASS AVENUE KETCHIKAN, AK",KETCHIKAN,AK,99901,55.352717,-131.686049
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,"7000 UULA ST BARROW, AK",BARROW,AK,99723,71.298135,-156.72732
21313,SOUTH PENINSULA HOSPITAL,"4300 BARTLETT ST HOMER, AK",HOMER,AK,99603,59.652133,-151.550296
21314,MT EDGECUMBE HOSPITAL,"222 TONGASS DR SITKA, AK",SITKA,AK,99835,57.05201,-135.356353
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,"1111 EAST MCDOWELL ROAD PHOENIX, AZ",PHOENIX,AZ,85006,33.465724,-112.058127
30006,TUCSON MEDICAL CENTER,"5301 EAST GRANT ROAD TUCSON, AZ",TUCSON,AZ,85712,32.250749,-110.880169
30007,VERDE VALLEY MEDICAL CENTER,"269 SOUTH CANDY LANE COTTONWOOD, AZ",COTTONWOOD,AZ,86326,34.736201,-112.031784
30010,ST. MARY'S HOSPITAL,"1601 WEST ST MARY'S ROAD TUCSON, AZ",TUCSON,AZ,85745,32.228923,-111.000032
30011,ST JOSEPH'S HOSPITAL,"350 NORTH WILMOT ROAD TUCSON, AZ",TUCSON,AZ,85711,32.225946,-110.857838
30012,YAVAPAI REGIONAL MEDICAL CENTER,"1003 WILLOW CREEK ROAD PRESCOTT, AZ",PRESCOTT,AZ,86301,34.55938,-112.482065
30013,YUMA REGIONAL MEDICAL CENTER,"2400 SOUTH AVENUE A YUMA, AZ",YUMA,AZ,85364,32.683899,-114.633238
30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,"250 EAST DUNLAP AVENUE PHOENIX, AZ",PHOENIX,AZ,85020,33.567754,-112.07063
30016,BANNER CASA GRANDE MEDICAL CENTER,"1800 EAST FLORENCE BOULEVARD CASA GRANDE, AZ",CASA GRANDE,AZ,85222,32.879608,-111.709253
30022,MARICOPA MEDICAL CENTER,"2601 EAST ROOSEVELT STREET PHOENIX, AZ",PHOENIX,AZ,85008,33.458525,-112.02643
30023,FLAGSTAFF MEDICAL CENTER,"1200 NORTH BEAVER STREET FLAGSTAFF, AZ",FLAGSTAFF,AZ,86001,35.209534,-111.644835
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,"350 WEST THOMAS ROAD PHOENIX, AZ",PHOENIX,AZ,85013,33.480294,-112.079208
30030,ABRAZO CENTRAL CAMPUS,"2000 WEST BETHANY HOME ROAD PHOENIX, AZ",PHOENIX,AZ,85015,33.524116,-112.101934
30033,BANNER PAYSON MEDICAL CENTER,"807 SOUTH PONDEROSA DRIVE PAYSON, AZ",PAYSON,AZ,85541,34.231351,-111.321361
30036,CHANDLER REGIONAL MEDICAL CENTER,"1955 WEST FRYE ROAD CHANDLER, AZ",CHANDLER,AZ,85224,33.29861,-111.876053
30037,ST LUKE'S MEDICAL CENTER,"1800 EAST VAN BUREN STREET PHOENIX, AZ",PHOENIX,AZ,85006,33.451436,-112.042767
30038,SCOTTSDALE OSBORN MEDICAL CENTER,"7400 EAST OSBORN ROAD SCOTTSDALE, AZ",SCOTTSDALE,AZ,85251,33.487639,-111.922725
30043,CANYON VISTA MEDICAL CENTER,"5700 EAST HIGHWAY 90 SIERRA VISTA, AZ",SIERRA VISTA,AZ,85635,31.554635,-110.230726
30055,KINGMAN REGIONAL MEDICAL CENTER,"3269 STOCKTON HILL ROAD KINGMAN, AZ",KINGMAN,AZ,86409,35.134841,-114.232524
30061,BANNER BOSWELL MEDICAL CENTER,"10401 WEST THUNDERBIRD BOULEVARD SUN CITY, AZ",SUN CITY,AZ,85351,33.604798,-112.282538
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,"2200 EAST SHOW LOW LAKE ROAD SHOW LOW, AZ",SHOW LOW,AZ,85901,34.201967,-110.01839
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"1501 NORTH CAMPBELL AVENUE TUCSON, AZ",TUCSON,AZ,85724,32.240663,-110.944717
30065,BANNER DESERT MEDICAL CENTER,"1400 SOUTH DOBSON ROAD MESA, AZ",MESA,AZ,85202,33.39091,-111.874624
30068,MT. GRAHAM REGIONAL MEDICAL CENTER,"1600 SOUTH 20TH AVENUE SAFFORD, AZ",SAFFORD,AZ,85546,32.821883,-109.732994
30069,HAVASU REGIONAL MEDICAL CENTER,"101 CIVIC CENTER LANE LAKE HAVASU CITY, AZ",LAKE HAVASU CITY,AZ,86403,34.47998,-114.338537
30078,PHOENIX INDIAN MEDICAL CENTER,"4212 NORTH 16TH STREET PHOENIX, AZ",PHOENIX,AZ,85016,33.49701,-112.047613
30083,ABRAZO SCOTTSDALE CAMPUS,"3929 EAST BELL ROAD PHOENIX, AZ",PHOENIX,AZ,85032,33.640603,-111.997692
30085,NORTHWEST MEDICAL CENTER,"6200 NORTH LA CHOLLA BOULEVARD TUCSON, AZ",TUCSON,AZ,85741,32.319581,-111.012054
30087,SCOTTSDALE SHEA MEDICAL CENTER,"9003 EAST SHEA BOULEVARD SCOTTSDALE, AZ",SCOTTSDALE,AZ,85260,33.582467,-111.886032
30088,BANNER BAYWOOD MEDICAL CENTER,"6644 EAST BAYWOOD AVENUE MESA, AZ",MESA,AZ,85206,33.410465,-111.688085
30089,BANNER THUNDERBIRD MEDICAL CENTER,"5555 WEST THUNDERBIRD ROAD GLENDALE, AZ",GLENDALE,AZ,85306,33.610731,-112.178698
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,"19829 NORTH 27TH AVENUE PHOENIX, AZ",PHOENIX,AZ,85027,33.666425,-112.117188
30093,BANNER DEL E. WEBB MEDICAL CENTER,"14502 WEST MEEKER BOULEVARD SUN CITY WEST, AZ",SUN CITY WEST,AZ,85375,33.658307,-112.371939
30094,ABRAZO ARROWHEAD CAMPUS,"18701 NORTH 67TH AVENUE GLENDALE, AZ",GLENDALE,AZ,85308,33.655042,-112.202889
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,"2735 SILVER CREEK ROAD BULLHEAD CITY, AZ",BULLHEAD CITY,AZ,86442,35.109853,-114.555146
30103,MAYO CLINIC HOSPITAL,"5777 EAST MAYO BOULEVARD PHOENIX, AZ",PHOENIX,AZ,85054,33.663312,-111.955659
30105,BANNER HEART HOSPITAL,"6750 EAST BAYWOOD AVENUE MESA, AZ",MESA,AZ,85206,33.410379,-111.685302
30107,ARIZONA SPINE AND JOINT HOSPITAL,"4620 EAST BASELINE ROAD MESA, AZ",MESA,AZ,85206,33.379206,-111.734695
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE","6501 NORTH 19TH AVENUE PHOENIX, AZ",PHOENIX,AZ,85015,33.531837,-112.099614
30110,ABRAZO WEST CAMPUS,"13677 WEST MCDOWELL ROAD GOODYEAR, AZ",GOODYEAR,AZ,85395,33.464283,-112.354024
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,"2800 EAST AJO WAY TUCSON, AZ",TUCSON,AZ,85713,32.177882,-110.930891
30112,ARIZONA SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1 CHANDLER, AZ",CHANDLER,AZ,85224,33.33484,-111.891133
30114,ORO VALLEY HOSPITAL,"1551 EAST TANGERINE ROAD ORO VALLEY, AZ",ORO VALLEY,AZ,85755,32.427183,-110.94954
30115,BANNER ESTRELLA MEDICAL CENTER,"9201 WEST THOMAS ROAD PHOENIX, AZ",PHOENIX,AZ,85037,33.479558,-112.257936
30117,VALLEY VIEW MEDICAL CENTER,"5330 SOUTH HIGHWAY 95 FORT MOHAVE, AZ",FORT MOHAVE,AZ,86426,35.002363,-114.597954
30119,MERCY GILBERT MEDICAL CENTER,"3555 SOUTH VAL VISTA DRIVE GILBERT, AZ",GILBERT,AZ,85297,33.286661,-111.755311
30120,GILBERT HOSPITAL,"5656 SOUTH POWER ROAD GILBERT, AZ",GILBERT,AZ,85295,33.313291,-111.686884
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP","1301 SOUTH CRISMON ROAD MESA, AZ",MESA,AZ,85209,33.3911,-111.615329
30122,BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD GILBERT, AZ",GILBERT,AZ,85234,33.384225,-111.719634
30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,"7400 EAST THOMPSON PEAK PARKWAY SCOTTSDALE, AZ",SCOTTSDALE,AZ,85255,33.669777,-111.921803
30130,BANNER IRONWOOD MEDICAL CENTER,"37000 NORTH GANTZEL ROAD QUEEN CREEK, AZ",QUEEN CREEK,AZ,85140,33.214839,-111.563447
30131,O.A.S.I.S. HOSPITAL,"750 NORTH 40TH STREET PHOENIX, AZ",PHOENIX,AZ,85008,33.45672,-111.99521
30132,"FLORENCE HOSPITAL AT ANTHEM, LLC","4545 NORTH HUNT HIGHWAY FLORENCE, AZ",FLORENCE,AZ,85132,33.073607,-111.486843
30134,BANNER GOLDFIELD MEDICAL CENTER,"2050 WEST SOUTHERN AVENUE APACHE JUNCTION, AZ",APACHE JUNCTION,AZ,85120,33.393343,-111.566796
30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,"7171 SOUTH 51ST AVENUE LAVEEN, AZ",LAVEEN,AZ,85339,33.380677,-112.168233
30137,GREEN VALLEY HOSPITAL,"4455 SOUTH I-19 FRONTAGE ROAD GREEN VALLEY, AZ",GREEN VALLEY,AZ,85614,31.807943,-111.010966
31300,WICKENBURG COMMUNITY HOSPITAL,"520 ROSE LANE WICKENBURG, AZ",WICKENBURG,AZ,85390,33.978056,-112.738825
31301,BENSON HOSPITAL,"450 SOUTH OCOTILLO AVENUE BENSON, AZ",BENSON,AZ,85602,31.964829,-110.307123
31302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.","901 WEST REX ALLEN DRIVE WILLCOX, AZ",WILLCOX,AZ,85643,32.264268,-109.837613
31304,PAGE HOSPITAL,"501 NORTH NAVAJO DRIVE PAGE, AZ",PAGE,AZ,86040,36.91696,-111.463186
31307,PARKER INDIAN HEALTH CENTER,"12033 AGENCY ROAD PARKER, AZ",PARKER,AZ,85344,34.146494,-114.301314
31311,LITTLE COLORADO MEDICAL CENTER,"1501 NORTH WILLIAMSON AVENUE WINSLOW, AZ",WINSLOW,AZ,86047,35.035455,-110.691742
31312,COPPER QUEEN COMMUNITY HOSPITAL,"101 COLE AVENUE BISBEE, AZ",BISBEE,AZ,85603,31.417254,-109.8826
31313,HOLY CROSS HOSPITAL,"1171 WEST TARGET RANGE ROAD NOGALES, AZ",NOGALES,AZ,85621,31.341118,-110.958734
31314,COBRE VALLEY REGIONAL MEDICAL CENTER,"5880 SOUTH HOSPITAL DRIVE GLOBE, AZ",GLOBE,AZ,85501,33.407206,-110.826224
31315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,"118 SOUTH MOUNTAIN AVENUE SPRINGERVILLE, AZ",SPRINGERVILLE,AZ,85938,34.132136,-109.286545
31317,LA PAZ REGIONAL HOSPITAL,"1200 WEST MOHAVE ROAD PARKER, AZ",PARKER,AZ,85344,34.135137,-114.285597
33302,PHOENIX CHILDREN'S HOSPITAL,"1919 EAST THOMAS ROAD PHOENIX, AZ",PHOENIX,AZ,85016,33.480216,-112.041193
33303,"HACIENDA CHILDREN'S HOSPITAL, INC.","610 WEST JEROME AVENUE MESA, AZ",MESA,AZ,85210,33.381128,-111.844892
40001,SILOAM SPRINGS REGIONAL HOSPITAL,"603 NORTH PROGRESS AVENUE SILOAM SPRINGS, AR",SILOAM SPRINGS,AR,72761,36.190377,-94.509658
40002,JOHNSON REGIONAL MEDICAL CENTER,"1100 EAST POPLAR STREET CLARKSVILLE, AR",CLARKSVILLE,AR,72830,35.464384,-93.445797
40004,WASHINGTON REGIONAL MEDICAL CENTER,"3215 N NORTH HILLS BOULEVARD FAYETTEVILLE, AR",FAYETTEVILLE,AR,72703,36.110984,-94.157862
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,"2710 SOUTH RIFE MEDICAL LANE ROGERS, AR",ROGERS,AR,72758,36.309816,-94.184727
40011,CHAMBERS MEMORIAL HOSPITAL,"719 DETROIT STREET DANVILLE, AR",DANVILLE,AR,72833,35.054823,-93.388543
40014,WHITE COUNTY MEDICAL CENTER,"3214 EAST RACE AVENUE SEARCY, AR",SEARCY,AR,72143,35.250446,-91.696758
40015,MENA REGIONAL HEALTH SYSTEM,"311 NORTH MORROW STREET MENA, AR",MENA,AR,71953,34.588582,-94.222504
40016,UAMS MEDICAL CENTER,"4301 WEST MARKHAM STREET MAIL SLOT 612 LITTLE ROCK, AR",LITTLE ROCK,AR,72205,34.751583,-92.320998
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,"620 NORTH MAIN STREET HARRISON, AR",HARRISON,AR,72601,36.236281,-93.107148
40019,FORREST CITY MEDICAL CENTER,"1601 NEWCASTLE ROAD FORREST CITY, AR",FORREST CITY,AR,72335,35.039275,-90.771894
40020,ST BERNARDS MEDICAL CENTER,"225 E JACKSON JONESBORO, AR",JONESBORO,AR,72401,35.837478,-90.702142
